docid,entityid,type
1192,Chromium,Topic
1192,Type 2 Diabetes Mellitus,Topic
1193,Projection-Based Testing For Mean Trajectory Differences,Topic
1193,Wang (2021),Author
1193,Fpass,Topic
1193,Salil Koner,Author
1193,Sheng Luo,Author
1193,Parkinson'S Disease,Topic
1193,Biostatistical Applications,Topic
1193,Clinical Trials,Topic
1194,Hidden Yet Quantifiable: A Lower Bound For Confounding Strength Using Randomized Trials,Paper
1194,Observational Studies,Topic
1194,Randomized Trials,Topic
1194,Unobserved Confounding,Topic
1194,Statistical Test,Topic
1194,Causal Conclusions,Topic
1195,Optimal Adaptive Smart Designs With Binary Outcomes,Paper
1195,Rik Ghosh,Author
1195,Bibhas Chakraborty,Author
1195,Inbal Nahum-Shani,Author
1195,Megan E. Patrick,Author
1195,Palash Ghosh,Author
1195,Smart,Topic
1195,M-Bridge,Topic
1196,Unified Three-State Model Framework For Analysis Of Treatment Crossover In Survival Trials,Paper
1196,Treatment Effect,Topic
1196,Treatment Crossover,Topic
1196,Statistical Methodologies,Topic
1196,Tsm Framework,Topic
1196,Imputation Method,Topic
1197,Rank-Based Approach For Univariate Two-Sample Testing,Topic
1197,Wilcoxon-Mann-Whitney Test,Topic
1197,Yijin Zeng,Author
1197,Niall M. Adams,Author
1197,Dean A. Bodenham,Author
1197,Complex Clinical Trial Data,Topic
1198,Bayesian Estimator Of Sample Size,Topic
1198,Dehua Bi,Author
1198,Yuan Ji,Author
1198,Oncology Dose Optimization Clinical Trials,Topic
1199,Oncology Drug Development,Topic
1199,Dose Escalation Phase,Topic
1199,Maximal Tolerable Dose (Mtd),Topic
1199,Dose Limiting Toxicity (Dlt),Topic
1199,Model-Based Dose Escalation Trial Designs,Topic
1199,Pharmacokinetic (Pk) Data,Topic
1199,Bayesian Joint Modeling Framework,Topic
1199,Dose-Pk Relationship,Topic
1199,Pk-Dlt Relationship,Topic
1199,Real-Life Case Study,Topic
1199,Simulation,Topic
1199,Arnab Kumar Maity,Author
1199,Satrajit Roy Chowdhury,Author
1199,Ray Li,Author
1199,Lada Markovtsova,Author
1199,Roberto Bugarini,Author
1200,Randomized Trials,Topic
1200,Observational Studies,Topic
1200,Piersilvio De Bartolomeis,Author
1200,Javier Abad,Author
1200,Konstantin Donhauser,Author
1200,Fanny Yang,Author
1200,Benchmarking Strategy,Topic
1200,Treatment Effect Bias,Topic
1201,Transportability Of Principal Causal Effects,Paper
1201,Justin M. Clark,Author
1201,Kollin W. Rott,Author
1201,James S. Hodges,Author
1201,Jared D. Huling,Author
1202,Starting Small: Prioritizing Safety Over Efficacy In Randomized Experiments Using The Exact Finite Sample Likelihood,Paper
1203,A/B Testing,Topic
1203,Bootstrap Matching,Topic
1203,Difference-In-Differences,Topic
1203,Propensity Score Matching,Topic
1203,Zihao Zheng,Author
1203,Carol Liu,Author
1203,Online Advertising,Topic
1203,Digital Marketing,Topic
1203,Empirical Economics,Topic
1203,Clinical Trials,Topic
1203,High-Dimensional Bioinformatics,Topic
1204,Covid-19 Pandemic,Topic
1204,Vaccine Policies,Topic
1204,Traditional Clinical Trials,Topic
1204,Public Health Strategies,Topic
1204,Ethical Concerns,Topic
1204,Reinforcement Learning,Topic
1204,Vaccine Policy Development,Topic
1204,Tabular Q-Learning,Topic
1204,Microsimulation,Topic
1204,Recurrent Neural Network,Topic
1204,Public Health Vaccine Policymaking,Topic
1204,Q-Learning Model,Topic
1204,Covid-19 Booster Policies,Topic
1204,Guoxuan Ma,Author
1204,Lili Zhao,Author
1204,Jian Kang,Author
1205,Intercurrent Events,Topic
1205,Principal Stratification,Topic
1205,Latent Subpopulations,Topic
1205,Monotonicity,Topic
1205,Counterfactual Intermediate Independence,Topic
1205,Semiparametric Framework,Topic
1205,Conditional Odds Ratio Sensitivity Parameter,Topic
1205,Principal Ignorability,Topic
1205,Nonparametric Identification Formulas,Topic
1205,Conditionally Doubly Robust Parametric Estimator,Topic
1205,De-Biased Machine Learning Estimator,Topic
1205,Data-Adaptive Nuisance Estimators,Topic
1205,Critical Care Trial,Topic
1205,Semiparametric Sensitivity Analysis,Topic
1205,Jiaqi Tong,Author
1205,Brennan Kahan,Author
1205,Michael O. Harhay,Author
1205,Fan Li,Author
1206,Machine Learning,Topic
1206,Healthcare,Topic
1206,Reproducibility Crisis,Topic
1206,Medicine,Topic
1206,Neuroimaging,Topic
1206,Alzheimer'S Disease,Topic
1206,Schizophrenia,Topic
1206,Brain Aging,Topic
1206,Weighted Empirical Risk Minimization,Topic
1206,"15,363 Individuals",Topic
1206,20 Neuroimaging Studies,Topic
1206,Rongguang Wang,Author
1206,Guray Erus,Author
1206,Pratik Chaudhari,Author
1206,Christos Davatzikos,Author
1207,Threshold-Free Summary Index For Quantifying The Capacity Of Covariates To Yield Efficient Treatment Rules,Paper
1207,Covariates,Topic
1207,Treatment Rules,Topic
1207,Randomized Trial,Topic
1207,Decision Theory,Topic
1207,Clinical Trial Of Preventive Antibiotic Therapy For Reducing Exacerbation Rate In Chronic Obstructive Pulmonary Disease,Topic
1208,Covariate Adjustment In Subgroup Analyses Of Randomized Clinical Trials: A Propensity Score Approach,Paper
1208,Siyun Yang,Author
1208,Fan Li,Author
1208,Laine E. Thomas,Author
1209,Savvy,Topic
1209,Adverse Events,Topic
1209,Randomized Clinical Trials,Topic
1209,Kaspar Rufibach,Author
1209,Regina Stegherr,Author
1209,Claudia Schmoor,Author
1209,Valentine Jehl,Author
1209,Arthur Allignol,Author
1209,Annette Boeckenhoff,Author
1209,Cornelia Dunger-Baldauf,Author
1209,Lewin Eisele,Author
1209,Thomas K¸nzel,Author
1209,Katrin Kupas,Author
1209,Friedhelm Leverkus,Author
1209,Matthias Trampisch,Author
1209,Yumin Zhao,Author
1209,Tim Friede,Author
1209,Jan Beyersmann,Author
1210,Randomised Controlled Trials,Topic
1210,Ordinal Outcome,Topic
1210,Scoping Review,Topic
1210,Chris J. Selman,Author
1210,Katherine J. Lee,Author
1210,Robert K. Mahar,Author
1210,Bmj,Topic
1210,Nejm,Topic
1210,The Lancet,Topic
1210,Jama,Topic
1210,Pubmed,Topic
1210,Prisma-Scr Checklist,Topic
1210,1-Jan-12,Topic
1210,31-Jul-22,Topic
1211,Clinical Trials,Topic
1211,Electronic Health Records,Topic
1211,Natural Language Processing,Topic
1211,Generative Pre-Trained Transformer,Topic
1211,Mojdeh Rahmanian,Author
1211,Seyed Mostafa Fakhrahmad,Author
1211,Seyedeh Zahra Mousavi,Author
1211,2018 N2C2 Challenge,Topic
1211,Snomed Ct,Topic
1211,Cohort Selection Task,Topic
1211,Eligibility Criteria,Topic
1211,Micro F Measure,Topic
1211,Macro F Measure,Topic
1212,Randomized Controlled Trials,Topic
1212,Forest Plots,Topic
1212,Treatment Effect Estimates,Topic
1212,Subgroups,Topic
1212,Bayesian Shrinkage Methods,Topic
1212,Cox Model,Topic
1212,Penalized Partial Likelihood Estimation,Topic
1212,Bayesian Estimation,Topic
1212,Credible Intervals,Topic
1212,Treatment Effect Estimators,Topic
1212,R Package Bonsaiforest,Topic
1212,Marcel Wolbers,Author
1212,Mar V·zquez RabuÒal,Author
1212,Ke Li,Author
1212,Kaspar Rufibach,Author
1212,Daniel SabanÈs BovÈ,Author
1213,Chauhan Weighted Trajectory Analysis,Topic
1213,Utkarsh Chauhan,Author
1213,Daylen Mackey,Author
1213,John R Mackey,Author
1213,Risk Benefit Analysis,Topic
1213,Randomized Controlled Trials,Topic
1213,Advanced Cancer Trial,Topic
1213,Dose Escalation Phase I Trial,Topic
1213,Ctcae Scale,Topic
1213,Recist 1.1 Health Statuses,Topic
1214,Semiparametric Joint Modeling To Estimate The Treatment Effect On A Longitudinal Surrogate With Application To Chronic Kidney Disease Trials,Paper
1214,Xuan Wang,Author
1214,Jie Zhou,Author
1214,Layla Parast,Author
1214,Tom Greene,Author
1214,Chronic Kidney Disease,Topic
1214,Glomerular Filtration Rate,Topic
1214,Losartan,Topic
1214,Renaal Trial,Topic
1215,Response-Adaptive Designs,Topic
1215,Covariate-Adjusted Response-Adaptive Designs,Topic
1215,K Treatments,Topic
1215,Generalized Linear Models,Topic
1215,Linear Model,Topic
1215,Logistic Regression Model,Topic
1215,Li-Xin Zhang,Author
1215,Feifang Hu,Author
1215,Siu Hung Cheung,Author
1215,Wai Sum Chan,Author
1215,Asymptotic Properties Of Covariate-Adjusted Adaptive Designs,Paper
1216,Nonparametric Estimators Of The Mean Total Cost,Topic
1216,Clinical Trials,Topic
1216,Longitudinal Framework,Topic
1216,Net Present Value,Topic
1216,Medical Cost Data,Topic
1216,Regression Model,Topic
1216,Heteroscedasticity,Topic
1216,Skewness,Topic
1216,Censoring In Cost Data,Topic
1216,Joseph C. Gardiner,Author
1216,Lin Liu,Author
1216,Zhehui Luo,Author
1217,Urn Models,Topic
1217,Immigrated Urn (Imu) Models,Topic
1217,Li-Xin Zhang,Author
1217,Feifang Hu,Author
1217,Siu Hung Cheung,Author
1217,Wei Sum Chan,Author
1217,Clinical Studies,Topic
1217,Treatment Allocation Schemes,Topic
1217,Statistical Inferences,Topic
1217,Classical Urn Models,Topic
1217,Imu Framework,Topic
1218,A New Latent Cure Rate Marker Model For Survival Data,Paper
1218,Sungduk Kim,Author
1218,Yingmei Xi,Author
1218,Ming-Hui Chen,Author
1219,Twitter,Topic
1219,Medical Papers,Topic
1219,Jens Peter Andersen,Author
1219,Stefanie Haustein,Author
1219,Embase,Topic
1219,Meta-Analyses,Topic
1219,Systematic Reviews,Topic
1219,Clinical Trials,Topic
1219,Basic Research,Topic
1220,Phase Ii Dose Finding Studies,Topic
1220,Dose Response Relationship,Topic
1220,New Drug,Topic
1220,Model Selection,Topic
1220,Model Averaging,Topic
1220,Mathematical Properties,Topic
1220,Simulations,Topic
1220,Asymptotic Properties Of Model Selection Criteria,Topic
1220,Sample Size,Topic
1220,Effect Size,Topic
1220,Large Scale Simulation Study,Topic
1220,Phase Ii Dosefinding Study,Topic
1220,Chronic Obstructive Pulmonary Disease,Topic
1220,Kirsten Schorning,Author
1220,Bjˆrn Bornkamp,Author
1220,Frank Bretz,Author
1220,Holger Dette,Author
1220,Model Selection Versus Model Averaging In Dose Finding Studies,Paper
1221,Closed-Loop Deep Brain Stimulation,Topic
1221,Neurological Movement Disorders,Topic
1221,Control Algorithms,Topic
1221,Metric For System Performance,Topic
1221,Parkinson'S Disease,Topic
1221,Tremor Treatment,Topic
1221,Power Savings,Topic
1221,Jeffrey Herron,Author
1221,Anca Velisar,Author
1221,Mahsa Malekmohammadi,Author
1221,Helen Bronte-Stewart,Author
1221,Howard Jay Chizeck,Author
1221,Clinicaltrials.Gov Identifier: Nct02384421,Paper
1222,Robotics,Topic
1222,Endoscopes,Topic
1222,Gi Tract,Topic
1222,Robotically Actuated Tendon Sheath Mechanisms,Topic
1222,Surgical Endoscopy,Topic
1222,Surgeon Movements,Topic
1222,Tissue Manipulation,Topic
1222,Endoscopic Submucosal Dissection,Topic
1222,Full-Thickness Resection,Topic
1222,Surgical Outcomes,Topic
1222,Master-Slave Surgical Robotics,Topic
1222,Position And Force Sensors,Topic
1222,Tactile Feedback,Topic
1222,Robotic Assisted Gi Luminal Surgeries,Topic
1222,Notes Surgeries,Topic
1222,Gastroenterologists,Topic
1222,Tian En Timothy Seah,Author
1222,Thanh Nho Do,Author
1222,Nobuyoshi Takeshita,Author
1222,Khek Yu Ho,Author
1222,Soo Jay Phee,Author
1223,A Novel Method Of Subgroup Identification By Combining Virtual Twins With Guide (Vg) For Development Of Precision Medicines,Paper
1223,Virtual Twins,Topic
1223,Guide,Topic
1224,Alzheimer'S Disease,Topic
1224,Quantitative Electroencephalography,Topic
1224,Riemannian Tangent Space Mapping,Topic
1224,Elastic Net Regression,Topic
1224,Brain Atrophy Markers,Topic
1224,Wolfgang Fruehwirt,Author
1224,Matthias Gerstgrasser,Author
1224,Pengfei Zhang,Author
1224,Leonard Weydemann,Author
1224,Markus Waser,Author
1224,Reinhold Schmidt,Author
1224,Thomas Benke,Author
1224,Peter Dal-Bianco,Author
1224,Gerhard Ransmayr,Author
1224,Dieter Grossegger,Author
1224,Heinrich Garn,Author
1224,Gareth W. Peters,Author
1224,Stephen Roberts,Author
1224,Georg Dorffner,Author
1225,Biomarker Measurements,Topic
1225,Compound,Topic
1225,Patients,Topic
1225,Drug,Topic
1225,Treatment Effect,Topic
1225,Subgroup,Topic
1225,Causal Conclusions,Topic
1225,Causal Inference,Topic
1225,Subgroup Effects,Topic
1225,Simulations,Topic
1225,Case-Study,Topic
1225,Randomized Clinical Trials,Topic
1225,Time-To-Event Endpoint,Topic
1225,Bjˆrn Bornkamp,Author
1225,Georgina Bermann,Author
1226,Inverse Probability Of Treatment Weighting (Iptw),Topic
1226,Sample Average Treatment Effects (Sate),Topic
1226,Observational Data,Topic
1226,Positivity Assumption,Topic
1226,Treatment Assignment Model,Topic
1226,Truncation,Topic
1226,Covariate-Balancing Propensity Scores,Topic
1226,Stable Balancing Weights,Topic
1226,Kernel Optimal Matching (Kom),Topic
1226,Spine Surgery,Topic
1226,Conditional Mean Squared Error,Topic
1226,Clinical Registry,Topic
1226,Nathan Kallus,Author
1226,Brenton Pennicooke,Author
1226,Michele Santacatterina,Author
1227,A Family-Based Graphical Approach For Testing Hierarchically Ordered Families Of Hypotheses,Paper
1227,Zhiying Qiu,Author
1227,Li Yu,Author
1227,Wenge Guo,Author
1227,Gatekeeping Strategies,Topic
1227,Familywise Error Rate,Topic
1228,Knee Osteoarthritis,Topic
1228,Multi-Modal Machine Learning-Based Oa Progression Prediction Model,Topic
1228,Aleksei Tiulpin,Author
1228,Stefan Klein,Author
1228,Sita M. A. Bierma-Zeinstra,Author
1228,JÈrÙme Thevenot,Author
1228,Esa Rahtu,Author
1228,Joyce Van Meurs,Author
1228,Edwin H. G. Oei,Author
1228,Simo Saarakkala,Author
1228,"3,918 Knee Images",Topic
1228,"2,129 Subjects",Topic
1228,0.79 Auc,Topic
1228,0.68 Ap,Topic
1228,0.75 Auc,Topic
1228,0.62 Ap,Topic
1229,Augmented Reality,Topic
1229,Image Guided Surgery,Topic
1229,Magnetic Resonance Elastography,Topic
1229,Michael Barrow,Author
1229,Alice Chao,Author
1229,Qizhi He,Author
1229,Sonia Ramamoorthy,Author
1229,Claude Sirlin,Author
1229,Ryan Kastner,Author
1229,Patient Specific Biomechanics,Topic
1229,Surgical Landmarks,Topic
1229,Mre Data Driven Simulation,Topic
1229,Traditional Method,Topic
1229,Animal Model Trials,Topic
1230,Prediction Of Thrombectomy Functional Outcomes Using Multimodal Data,Paper
1230,Zeynel A. Samak,Author
1230,Philip Clatworthy,Author
1230,Majid Mirmehdi,Author
1230,Ischaemic Stroke,Topic
1230,Endovascular Thrombectomy,Topic
1230,Deep Learning,Topic
1230,Multimodal Data,Topic
1230,Modified Rankin Scale Score,Topic
1230,Auc,Topic
1230,Classification Accuracy,Topic
1231,Causal Network Models Of Sars-Cov-2 Expression And Aging To Identify Candidates For Drug Repurposing,Paper
1231,Anastasiya Belyaeva,Author
1231,Louis Cammarata,Author
1231,Adityanarayanan Radhakrishnan,Author
1231,Chandler Squires,Author
1231,Karren Dai Yang,Author
1231,G. V. Shivashankar,Author
1231,Caroline Uhler,Author
1231,Sars-Cov-2,Topic
1231,Drug Repurposing,Topic
1231,Aging,Topic
1232,Pure-Exploration Problem In Stochastic Multi-Armed Bandits,Topic
1232,Epsilon-Good Arm,Topic
1232,Best-Arm Identification,Topic
1232,Top-K Arm Identification,Topic
1232,All Arms With Means Above A Specified Threshold,Topic
1232,Virologist,Author
1232,Blake Mason,Author
1232,Lalit Jain,Author
1232,Ardhendu Tripathy,Author
1232,Robert Nowak,Author
1232,Large-Scale Crowd-Sourced Dataset,Topic
1232,Dataset Testing Hundreds Of Possible Cancer Drugs,Topic
1233,Drug Repurposing,Topic
1233,Real World Data,Topic
1233,Coronary Artery Disease,Topic
1233,Ruoqi Liu,Author
1233,Lai Wei,Author
1233,Ping Zhang,Author
1233,Framework For Drug Repurposing,Topic
1233,Drug Candidates,Topic
1233,Medical Claims Database,Topic
1233,Causal Inference,Topic
1233,Deep Learning,Topic
1234,The Impact Of The Covid-19 Pandemic On Scientific Research In The Life Sciences,Paper
1234,Massimo Riccaboni,Author
1234,Luca Verginer,Author
1234,Covid-19,Topic
1234,Life Sciences,Topic
1235,Molecular Origin Of Blood-Based Infrared Fingerprints,Paper
1236,Dementia,Topic
1237,Robot-Assisted Intervention,Topic
1237,Conservative Actor-Critic With Smooth Gradient (Casog),Paper
1237,Vascular Robotic Systems,Topic
1237,Clinical Trials,Topic
1237,Q-Function,Topic
1237,Convolution Layers,Topic
1237,Pre-Clinical Environment,Topic
1238,Mixed Effects Model For Repeated Measures,Topic
1238,Multivariate Skew-T Distribution,Topic
1238,Markov Chain Monte Carlo Algorithm,Topic
1238,Longitudinal Clinical Trials,Topic
1238,Yongqiang Tang,Author
1239,Warfarin,Topic
1239,Pharmgkb,Topic
1239,Hai Xiao,Author
1239,Multi-Armed Bandit Algorithms,Topic
1239,Warfarin Clinical Dosing Algorithm,Topic
1239,Fixed-Dose Approach,Topic
1239,Warfarin Clinical Algorithm,Topic
1240,Hand-Held Interface For Type 1 Diabetes,Topic
1240,Type 1 Diabetes,Topic
1240,Robert Spence,Author
1240,Chukwuma Uduku,Author
1240,Kezhi Li,Author
1240,Nick Oliver,Author
1240,Pantelis Georgiou,Author
1241,Restricted Mean Time Lost,Topic
1241,Sub-Distribution Hazard Ratio,Topic
1241,Jingjing Lyu,Author
1241,Yawen Hou,Author
1241,Zheng Chen,Author
1241,Sdiff,Topic
1241,Diff,Topic
1241,Monte Carlo Simulations,Topic
1241,Real Examples,Topic
1241,Treatment Effects,Topic
1242,Social Robot Project,Topic
1242,Mary Ellen Foster,Author
1242,Ronald P. A. Petrick,Author
1243,Digital Pathology Imaging,Topic
1243,Deep Learning Methods,Topic
1243,Tumor Descriptors,Topic
1243,Lung Adenocarcinoma,Topic
1243,Prognostic Model,Topic
1243,Esteban Fern·ndez Morales,Author
1243,Cong Zhang,Author
1243,Guanghua Xiao,Author
1243,Chul Moon,Author
1243,Qiwei Li,Author
1243,Github Repository,Topic
1244,Multi-Center Clinical Trials,Topic
1244,Summarized Clinical Data,Topic
1244,Statistical Methods,Topic
1244,Jing Qin,Author
1244,Yukun Liu,Author
1244,Pengfei Li,Author
1244,Big Data,Topic
1244,Generalized Method Of Moments,Topic
1244,Estimating Equations,Topic
1244,Empirical Likelihood Method,Topic
1244,Meta Analysis,Topic
1245,Meta-Analysis Of Censored Adverse Events,Paper
1245,Xinyue Qi,Author
1245,Shouhao Zhou,Author
1245,Christine B. Peterson,Author
1245,Yucai Wang,Author
1245,Xinying Fang,Author
1245,Michael L. Wang,Author
1245,Chan Shen,Author
1246,Estimating Conditional Average Treatment Effect,Topic
1246,Randomized Clinical Trials,Topic
1246,Observational Datasets,Topic
1246,Difference In Differences,Topic
1246,Synthesized Difference In Differences,Topic
1246,Eric V. Strobl,Author
1246,Thomas A. Lasko,Author
1247,Machine Learning Applications For Therapeutic Tasks With Genomics Data,Paper
1247,Kexin Huang,Author
1247,Cao Xiao,Author
1247,Lucas M. Glass,Author
1247,Cathy W. Critchlow,Author
1247,Greg Gibson,Author
1247,Jimeng Sun,Author
1248,Eb-Rmap,Topic
1248,Box'S Prior Predictive P-Value,Topic
1248,Binary,Topic
1248,Normal,Topic
1248,Time-To-Event,Topic
1248,Clinical Dataset,Topic
1248,Hongtao Zhang,Author
1248,Yueqi Shen,Author
1248,Alan Y Chiang,Author
1248,Judy Li,Author
1249,Estimation Of Treatment Efficacy Of Real-World Clinical Interventions,Topic
1249,Chirag Nagpal,Author
1249,Mononito Goswami,Author
1249,Keith Dufendach,Author
1249,Artur Dubrawski,Author
1249,Counterfactual Phenotyping With Censored Time-To-Events,Paper
1250,Pathologybert,Topic
1250,Natural Language Understanding,Topic
1250,Breast Cancer Diagnose Classification,Topic
1250,Thiago Santos,Author
1250,Amara Tariq,Author
1250,Susmita Das,Author
1250,Kavyasree Vayalpati,Author
1250,Geoffrey H. Smith,Author
1250,Hari Trivedi,Author
1250,Imon Banerjee,Author
1251,Treatment Discontinuation,Topic
1251,Insulin Peglispro,Topic
1251,Yongming Qu,Author
1251,Robin D. White,Author
1251,Stephen J. Ruberg,Author
1251,Current Case Report Form,Topic
1251,Phase 2 And Phase 3 Studies,Topic
1251,Clinical Data Interchange Standards Consortium,Topic
1252,Biomarker,Topic
1252,Selective Genotyping,Topic
1252,Reverse-Regression Least Squares Estimator,Topic
1252,A. Adam Ding,Author
1252,Natalie Delrocco,Author
1252,Samuel Wu,Author
1252,Chronic Pain Clinical Trial,Topic
1252,Monte Carlo Simulations,Topic
1252,Joint Normal Distribution Assumption,Topic
1252,Biomarker Testing Landscape,Topic
1252,Biomarker Value,Topic
1252,Response,Topic
1253,Perpetual Observational Studies,Topic
1253,Ecraid,Topic
1253,N. Hassoun-Kheir,Author
1253,C. H. Van Werkhoven,Author
1253,J. Dunning,Author
1253,T. Jaenisch,Author
1253,J. Van Beek,Author
1253,J. Bielicki,Author
1253,C. Butler,Author
1253,B. Francois,Author
1253,S. Harbarth,Author
1253,A. C. Hernandez Padilla,Author
1253,P. Horby,Author
1253,M. Koopmans,Author
1253,J. Lee,Author
1253,J. Rodriguez-BaÒo,Author
1253,E. Tacconelli,Author
1253,Y. Themistocleous,Author
1253,A. W. Van Der Velden,Author
1253,M. Bonten,Author
1253,H. Goossens,Author
1253,M. E. A. De Kraker,Author
1254,Patient-Specific Cardiac Computational Models,Topic
1254,Precision Medicine,Topic
1254,In-Silico Clinical Trials,Topic
1254,Digital Twins,Topic
1254,Cardiac Digital Twins,Topic
1254,Patient-Specific Diagnosis,Topic
1254,Therapy Stratification,Topic
1254,Deep Learning Based Patient-Specific Computational Model,Paper
1254,Eikonal Model,Topic
1254,Ventricular Activation Properties,Topic
1254,Conduction Velocities,Topic
1254,Root Nodes,Topic
1254,Electrocardiogram (Ecg),Topic
1254,Simulated Data,Topic
1254,Computational Time,Topic
1255,Echocardiographic Image Quality Assessment Using Deep Neural Networks,Paper
1255,Robert B. Labs,Author
1255,Massoud Zolgharni,Author
1255,Jonathan P. Loo,Author
1255,Echocardiography,Topic
1256,Medical Imaging Datasets,Topic
1256,Precision Medicine,Topic
1256,Unsupervised Autoencoder Framework,Topic
1256,Contrastive Loss,Topic
1256,Latent Space,Topic
1256,Benchmark Datasets,Topic
1256,Supervised Transfer Learning,Topic
1256,Matteo Ferrante,Author
1256,Tommaso Boccato,Author
1256,Simeon Spasov,Author
1256,Andrea Duggento,Author
1256,Nicola Toschi,Author
1257,Mechanical Ventilation,Topic
1257,Deepvent,Paper
1257,Conservative Q-Learning,Topic
1257,Deep Reinforcement Learning,Topic
1257,Mimic-Iii Dataset,Topic
1257,Fitted Q Evaluation,Topic
1257,Patients With Pulmonary Impairment,Topic
1257,Healthcare Workers,Topic
1258,Digital Health Twin,Topic
1258,Computational Pathology,Topic
1258,Privacy Safeguards,Topic
1258,Real-World Evidence,Topic
1258,Manuel Cossio,Author
1259,Heterogeneous Treatment Effects,Topic
1259,Randomized Controlled Trials,Topic
1259,Precision Medicine,Topic
1259,Subgroups,Topic
1259,Framework For Partitioning The Covariate Space,Topic
1259,Algorithm,Topic
1259,Synthetic And Semi-Synthetic Data,Topic
1259,Peniel N. Argaw,Author
1259,Elizabeth Healey,Author
1259,Isaac S. Kohane,Author
1259,Identifying Heterogeneous Treatment Effects In Multiple Outcomes Using Joint Confidence Intervals,Paper
1260,Immunotherapies,Topic
1260,Cart-Cell Therapy,Topic
1260,Viren Shah,Author
1260,Justin Womack,Author
1260,Anthony E. Zamora,Author
1260,Scott S. Terhune,Author
1260,Ranjan K. Dash,Author
1260,Cancer,Topic
1260,Fda,Topic
1260,Clinical Trials,Topic
1260,Computational Frameworks,Topic
1260,Signaling Signatures,Topic
1260,Tumor Cells,Topic
1260,In Silico,Topic
1261,Penalized Splines,Topic
1261,Linear Mixed Effects Model (Lmm),Topic
1261,Permutation Tests,Topic
1261,Boyu Ren,Author
1261,Stuart R. Lipsitz,Author
1261,Garrett M. Fitzmaurice,Author
1261,Roger D. Weiss,Author
1261,Stimulant Use Disorder Psychosocial Clinical Trial,Topic
1262,Biodynamic Profiles,Topic
1262,Canine B-Cell Lymphoma,Topic
1262,Fresh Tumor Biopsies,Topic
1262,Flash-Frozen Biopsies,Topic
1262,Digital Speckle Holography,Topic
1262,Zhen Hua,Author
1262,John Turek,Author
1262,Mike Childress,Author
1262,David Nolte,Author
1262,Thawed Samples,Topic
1262,Chemosensitivity Testing,Topic
1262,Tissue Banks,Topic
1263,Bioequivalence Study,Topic
1263,Clinical Trial,Topic
1263,Drug Formulation,Topic
1263,Pharmacokinetic Profiles,Topic
1263,Food And Drug Administration,Author
1263,Confidence Interval Approach,Topic
1263,Kexuan Li,Author
1263,Susie Sinks,Author
1263,Peng Sun,Author
1263,Lingli Yang,Author
1264,Guidance On Individualized Treatment Rule Estimation In High Dimensions,Paper
1264,Philippe Boileau,Author
1264,Ning Leng,Author
1264,Sandrine Dudoit,Author
1264,Individualized Treatment Rules,Topic
1264,Precision Medicine,Topic
1264,High-Dimensional Covariate Settings,Topic
1264,Data-Generating Processes,Topic
1264,Randomized Studies,Topic
1264,Observational Studies,Topic
1265,Drug Discovery,Topic
1265,Data Science,Topic
1265,Informatics,Topic
1265,Artificial Intelligence (Ai),Topic
1265,Catrin Hasselgren,Author
1265,Tudor I. Oprea,Author
1265,Small Molecule Drugs,Topic
1265,Generative Chemistry,Topic
1265,Machine Learning,Topic
1265,Multi-Property Optimization,Topic
1265,Reproducibility Crisis,Topic
1265,Artificial Intelligence For Drug Discovery: Are We There Yet?,Paper
1266,Heterogeneous Treatment Effects,Topic
1266,Causal Forests,Topic
1266,Vik Shirvaikar,Author
1266,Xi Lin,Author
1266,Chris Holmes,Author
1266,Relative Risk Causal Forests,Topic
1266,Clinical Trial Analysis,Topic
1267,Recent Advances In Large Language Models,Topic
1267,Clinical Applications,Topic
1267,Clinical Decision Support,Topic
1267,Trial Recommendations,Topic
1267,Gpt-4,Topic
1267,Icd Codes,Topic
1267,Medical Coding Tasks,Topic
1267,Llm-Codex,Topic
1267,Lstm-Based Verification Stage,Topic
1267,Mimic Dataset,Topic
1267,Zhichao Yang,Author
1267,Sanjit Singh Batra,Author
1267,Joel Stremmel,Author
1267,Eran Halperin,Author
1268,Meta-Analysis Of Study Twins,Topic
1268,Christian Rˆver,Author
1268,Tim Friede,Author
1269,Adaptive Experiment,Topic
1269,Cate,Topic
1269,Social Welfare,Topic
1269,Regret,Topic
1269,Contextual Bandit Framework,Topic
1269,Privacy Concerns,Topic
1269,Treatment Allocation Mechanism,Topic
1269,Tradeoff,Topic
1269,Pareto Optimality,Topic
1269,Differentially Private Algorithms,Topic
1269,Asymptotic Normality,Topic
1269,Jiachun Li,Author
1269,Kaining Shi,Author
1269,David Simchi-Levi,Author
1270,Population-Based Biobanks,Topic
1270,Epidemiological Research,Topic
1270,Clinical Research,Topic
1270,Biobank Data,Topic
1270,Cumulative Incidence Function (Cif) Estimator,Topic
1270,Malka Gorfine,Author
1270,David M. Zucker,Author
1270,Shoval Shoham,Author
1271,Nli4Ct Task,Topic
1271,Large Language Models,Topic
1271,Peft Method,Topic
1271,Gpt-4,Author
1271,Aryo Pradipta Gema,Author
1271,Giwon Hong,Author
1271,Pasquale Minervini,Author
1271,Luke Daines,Author
1271,Beatrice Alex,Author
1272,Large Language Models (Llms),Topic
1272,Transformers,Topic
1272,Natural Language Inference Capabilities,Topic
1272,Clinical Trial Reports,Topic
1272,Gemini,Author
1272,Duygu Altinok,Author
1272,D-Nlp At Semeval-2024 Task 2,Paper
