docid,title,summary,url,authors
268,Towards reliable and transparent vaccine phase III trials with smart contracts,"Transforming a vaccine concept into a real vaccine product is a complicated
process and includes finding suitable antigens and regulatory, technical, and
manufacturing obstacles. A relevant issue within this scope is the clinical
trial process. Monitoring and ensuring the integrity of trial data using the
traditional system is not always feasible. The search for a vaccine against the
coronavirus SARS-CoV-2 illustrates this situation. The scientific credibility
of findings from several vaccines' clinical trials contributed to distorted
perceptions concerning the benefits and risks of the drug. This scenario is
ideal for applying technologies such as Blockchain and Smart Contracts in
healthcare issues. This paper proposes a protocol based on Smart Contracts,
named VaccSC, to enable transparency, accounting, and confidentiality to Phase
III of vaccine experiments. The protocol was implemented in Solidity language,
and results show that the VaccSC enables double-blindness, randomization, and
the auditability of clinical data, even in the presence of dishonest
participants.",http://arxiv.org/abs/2102.07022v1,"Ivan da Silva Sendin, Rodrigo Sanches Miani"
269,Understanding Clinical Trial Reports: Extracting Medical Entities and Their Relations,"The best evidence concerning comparative treatment effectiveness comes from
clinical trials, the results of which are reported in unstructured articles.
Medical experts must manually extract information from articles to inform
decision-making, which is time-consuming and expensive. Here we consider the
end-to-end task of both (a) extracting treatments and outcomes from full-text
articles describing clinical trials (entity identification) and, (b) inferring
the reported results for the former with respect to the latter (relation
extraction). We introduce new data for this task, and evaluate models that have
recently achieved state-of-the-art results on similar tasks in Natural Language
Processing. We then propose a new method motivated by how trial results are
typically presented that outperforms these purely data-driven baselines.
Finally, we run a fielded evaluation of the model with a non-profit seeking to
identify existing drugs that might be re-purposed for cancer, showing the
potential utility of end-to-end evidence extraction systems.",http://arxiv.org/abs/2010.03550v3,"Benjamin E Nye, Jay DeYoung, Eric Lehman, Ani Nenkova, Iain J Marshall, Byron C Wallace"
270,Customizing Knowledge Graph Embedding to Improve Clinical Study Recommendation,"Inferring knowledge from clinical trials using knowledge graph embedding is
an emerging area. However, customizing graph embeddings for different use cases
remains a significant challenge. We propose custom2vec, an algorithmic
framework to customize graph embeddings by incorporating user preferences in
training the embeddings. It captures user preferences by adding custom nodes
and links derived from manually vetted results of a separate information
retrieval method. We propose a joint learning objective to preserve the
original network structure while incorporating the user's custom annotations.
We hypothesize that the custom training improves user-expected predictions, for
example, in link prediction tasks. We demonstrate the effectiveness of
custom2vec for clinical trials related to non-small cell lung cancer (NSCLC)
with two customization scenarios: recommending immuno-oncology trials
evaluating PD-1 inhibitors and exploring similar trials that compare new
therapies with a standard of care. The results show that custom2vec training
achieves better performance than the conventional training methods. Our
approach is a novel way to customize knowledge graph embeddings and enable more
accurate recommendations and predictions.",http://arxiv.org/abs/2212.14102v1,"Xiong Liu, Iya Khalil, Murthy Devarakonda"
271,A Connection Between Covariate Adjustment and Stratified Randomization in Randomized Clinical Trials,"The statistical efficiency of randomized clinical trials can be improved by
incorporating information from baseline covariates (i.e., pre-treatment patient
characteristics). This can be done in the design stage using stratified
(permutated block) randomization or in the analysis stage through covariate
adjustment. This article makes a connection between covariate adjustment and
stratified randomization in a general framework where all regular,
asymptotically linear estimators are identified as augmented estimators. From a
geometric perspective, covariate adjustment can be viewed as an attempt to
approximate the optimal augmentation function, and stratified randomization
improves a given approximation by moving it closer to the optimal augmentation
function. The efficiency benefit of stratified randomization is asymptotically
equivalent to attaching an optimal augmentation term based on the
stratification factor. In designing a trial with stratified randomization, it
is not essential to include all important covariates in the stratification,
because their prognostic information can be incorporated through covariate
adjustment. Under stratified randomization, adjusting for the stratification
factor only in data analysis is not expected to improve efficiency, and the key
to efficient estimation is incorporating prognostic information from all
important covariates. These observations are confirmed in a simulation study
and illustrated using real clinical trial data.",http://arxiv.org/abs/2401.11352v3,Zhiwei Zhang
272,A Deployed Online Reinforcement Learning Algorithm In An Oral Health Clinical Trial,"Dental disease is a prevalent chronic condition associated with substantial
financial burden, personal suffering, and increased risk of systemic diseases.
Despite widespread recommendations for twice-daily tooth brushing, adherence to
recommended oral self-care behaviors remains sub-optimal due to factors such as
forgetfulness and disengagement. To address this, we developed Oralytics, a
mHealth intervention system designed to complement clinician-delivered
preventative care for marginalized individuals at risk for dental disease.
Oralytics incorporates an online reinforcement learning algorithm to determine
optimal times to deliver intervention prompts that encourage oral self-care
behaviors. We have deployed Oralytics in a registered clinical trial. The
deployment required careful design to manage challenges specific to the
clinical trials setting in the U.S. In this paper, we (1) highlight key design
decisions of the RL algorithm that address these challenges and (2) conduct a
re-sampling analysis to evaluate algorithm design decisions. A second phase
(randomized control trial) of Oralytics is planned to start in spring 2025.",http://arxiv.org/abs/2409.02069v2,"Anna L Trella, Kelly W Zhang, Hinal Jajal, Inbal NahumShani, Vivek Shetty, Finale DoshiVelez, Susan A Murphy"
273,Controlled LLM-based Reasoning for Clinical Trial Retrieval,"Matching patients to clinical trials demands a systematic and reasoned
interpretation of documents which require significant expert-level background
knowledge, over a complex set of well-defined eligibility criteria. Moreover,
this interpretation process needs to operate at scale, over vast knowledge
bases of trials. In this paper, we propose a scalable method that extends the
capabilities of LLMs in the direction of systematizing the reasoning over sets
of medical eligibility criteria, evaluating it in the context of real-world
cases. The proposed method overlays a Set-guided reasoning method for LLMs. The
proposed framework is evaluated on TREC 2022 Clinical Trials, achieving results
superior to the state-of-the-art: NDCG@10 of 0.693 and Precision@10 of 0.73.",http://arxiv.org/abs/2409.18998v1,"Mael Jullien, Alex Bogatu, Harriet Unsworth, Andre Freitas"
274,Digital Twinning of the Human Ventricular Activation Sequence to Clinical 12-lead ECGs and Magnetic Resonance Imaging Using Realistic Purkinje Networks for in Silico Clinical Trials,"Cardiac in silico clinical trials can virtually assess the safety and
efficacy of therapies using human-based modelling and simulation. These
technologies can provide mechanistic explanations for clinically observed
pathological behaviour. Designing virtual cohorts for in silico trials requires
exploiting clinical data to capture the physiological variability in the human
population. The clinical characterisation of ventricular activation and the
Purkinje network is challenging, especially non-invasively. Our study aims to
present a novel digital twinning pipeline that can efficiently generate and
integrate Purkinje networks into human multiscale biventricular models based on
subject-specific clinical 12-lead electrocardiogram and magnetic resonance
recordings. Essential novel features of the pipeline are the human-based
Purkinje network generation method, personalisation considering ECG R wave
progression as well as QRS morphology, and translation from reduced-order
Eikonal models to equivalent biophysically-detailed monodomain ones. We
demonstrate ECG simulations in line with clinical data with clinical
image-based multiscale models with Purkinje in four control subjects and two
hypertrophic cardiomyopathy patients (simulated and clinical QRS complexes with
Pearson's correlation coefficients > 0.7). Our methods also considered possible
differences in the density of Purkinje myocardial junctions in the
Eikonal-based inference as regional conduction velocities. These differences
translated into regional coupling effects between Purkinje and myocardial
models in the monodomain formulation. In summary, we demonstrate a digital twin
pipeline enabling simulations yielding clinically-consistent ECGs with clinical
CMR image-based biventricular multiscale models, including personalised
Purkinje in healthy and cardiac disease conditions.",http://arxiv.org/abs/2306.13740v1,"Julia Camps, Lucas Arantes Berg, Zhinuo Jenny Wang, Rafael Sebastian, Leto Luana Riebel, Ruben Doste, Xin Zhou, Rafael Sachetto, James Coleman, Brodie Lawson, Vicente Grau, Kevin Burrage, Alfonso BuenoOrovio, Rodrigo Weber, Blanca Rodriguez"
275,On Minimum Clinically Important Difference,"In clinical trials, minimum clinically important difference (MCID) has
attracted increasing interest as an important supportive clinical and
statistical inference tool. Many estimation methods have been developed based
on various intuitions, while little theoretical justification has been
established. This paper proposes a new estimation framework of MCID using both
diagnostic measurements and patient-reported outcomes (PROs). It first provides
a precise definition of population-based MCID so that estimating such a MCID
can be formulated as a large margin classification problem. The framework is
then extended to personalized MCID to allow individualized thresholding value
for patients whose clinical profiles may affect their PRO responses. More
importantly, we show that the proposed estimation framework is asymptotically
consistent, and a finite-sample upper bound is established for its prediction
accuracy compared against the ideal MCID. The advantage of our proposed method
is also demonstrated in a variety of simulated experiments as well as
applications to two benchmark datasets and two phase-3 clinical trials.",http://arxiv.org/abs/1307.3646v2,"A S Hedayat, Junhui Wang, Tu Xu"
276,A Statistical Inference Framework for the Minimal Clinically Important Difference,"In clinical research, the effect of a treatment or intervention is widely
assessed through clinical importance, instead of statistical significance. In
this paper, we propose a principled statistical inference framework to learning
the minimal clinically important difference (MCID), a vital concept in
assessing clinical importance. We formulate the scientific question into a
novel statistical learning problem, develop an efficient algorithm for
parameter estimation, and establish the asymptotic theory for the proposed
estimator. We conduct comprehensive simulation studies to examine the finite
sample performance of the proposed method. We also re-analyze the ChAMP
(Chondral Lesions And Meniscus Procedures) trial, where the primary outcome is
the patient-reported pain score and the ultimate goal is to determine whether
there exists a significant difference in post-operative knee pain between
patients undergoing debridement versus observation of chondral lesions during
the surgery. Some previous analysis of this trial exhibited that the effect of
debriding the chondral lesions does not reach a statistical significance. Our
analysis reinforces this conclusion that the effect of debriding the chondral
lesions is not only statistically non-significant, but also clinically
un-important.",http://arxiv.org/abs/2108.11589v3,"Zehua Zhou, Leslie J Bisson, Jiwei Zhao"
277,The use of external controls: To what extent can it currently be recommended?,"With more and better clinical data being captured outside of clinical studies
and greater data sharing of clinical studies, external controls may become a
more attractive alternative to randomized clinical trials. Both industry and
regulators recognize that in situations where a randomized study cannot be
performed, external controls can provide the needed contextualization to allow
a better interpretation of studies without a randomized control. It is also
agreed that external controls will not fully replace randomized clinical trials
as the gold standard for formal proof of efficacy in drug development and the
yardstick of clinical research. However, it remains unclear in which situations
conclusions about efficacy and a positive benefit/risk can reliably be based on
the use of an external control. This paper will provide an overview on types of
external control, their applications and the different sources of bias their
use may incur, and discuss potential mitigation steps. It will also give
recommendations on how the use of external controls can be justified.",http://arxiv.org/abs/2209.07776v1,"Hans Ulrich Burger, Christoph Gerlinger, Chris Harbron, Armin Koch, Martin Posch, Justine Rochon, Anja Schiel"
278,eSource for clinical trials: Implementation and evaluation of a standards-based approach in a real world trial,"Objective: The Learning Health System (LHS) requires integration of research
into routine practice. eSource or embedding clinical trial functionalities into
routine electronic health record (EHR) systems has long been put forward as a
solution to the rising costs of research. We aimed to create and validate an
eSource solution that would be readily extensible as part of a LHS.
  Materials and Methods: The EU FP7 TRANSFoRm project's approach is based on
dual modelling, using the Clinical Research Information Model (CRIM) and the
Clinical Data Integration Model of meaning (CDIM) to bridge the gap between
clinical and research data structures, using the CDISC Operational Data Model
(ODM) standard. Validation against GCP requirements was conducted in a clinical
site, and a cluster randomised evaluation by site nested into a live clinical
trial.
  Results: Using the form definition element of ODM, we linked precisely
modelled data queries to data elements, constrained against CDIM concepts, to
enable automated patient identification for specific protocols and
prepopulation of electronic case report forms (e-CRF). Both control and eSource
sites recruited better than expected with no significant difference.
Completeness of clinical forms was significantly improved by eSource, but
Patient Related Outcome Measures (PROMs) were less well completed on
smartphones than paper in this population.
  Discussion: The TRANSFoRm approach provides an ontologically-based approach
to eSource in a low-resource, heterogeneous, highly distributed environment,
that allows precise prospective mapping of data elements in the EHR.
  Conclusion: Further studies using this approach to CDISC should optimise the
delivery of PROMS, whilst building a sustainable infrastructure for eSource
with research networks, trials units and EHR vendors.",http://arxiv.org/abs/1707.07994v1,"JeanFrancois Ethier, Vasa Curcin, Mark M McGilchrist, Sarah N Lim Choi Keung, Lei Zhao, Anna Andreasson, Piotr Brdka, Radoslaw Michalski, Theodoros N Arvanitis, Nikolaos Mastellos, Anita Burgun, Brendan C Delaney"
279,Anscombe's Model for Sequential Clinical Trials Revisited,"In Anscombe's classical model, the objective is to find the optimal
sequential rule for learning about the difference between two alternative
treatments and subsequently selecting the superior one. The population for
which the procedure is optimised has size $N$ and includes both the patients in
the trial and those which are treated with the chosen alternative after the
trial. We review earlier work on this problem and give a detailed treatment of
the problem itself. In particular, while previous work has mainly focused on
the case of conjugate normal priors for the incremental effect, we demonstrate
how to handle the problem for priors of a general form. We also discuss methods
for numerical solutions and the practical implications of the results for the
regulation of clinical trials.
  Two extensions of the model are proposed and analysed. The first breaks the
symmetry of the treatments, giving one the role of the current standard being
administered in parallel with the trial. We show how certain asymptotic results
due to Chernoff can be adapted to this asymmetric case. The other extension
assumes that $N$ is a random variable instead of a known constant.",http://arxiv.org/abs/1712.05547v1,"Sebastian Jobjrnsson, Sren Christensen"
280,A Model of a Randomized Experiment with an Application to the PROWESS Clinical Trial,"I develop a model of a randomized experiment with a binary intervention and a
binary outcome. Potential outcomes in the intervention and control groups give
rise to four types of participants. Fixing ideas such that the outcome is
mortality, some participants would live regardless, others would be saved,
others would be killed, and others would die regardless. These potential
outcome types are not observable. However, I use the model to develop
estimators of the number of participants of each type. The model relies on the
randomization within the experiment and on deductive reasoning. I apply the
model to an important clinical trial, the PROWESS trial, and I perform a Monte
Carlo simulation calibrated to estimates from the trial. The reduced form from
the trial shows a reduction in mortality, which provided a rationale for FDA
approval. However, I find that the intervention killed two participants for
every three it saved.",http://arxiv.org/abs/1908.05810v2,Amanda Kowalski
281,Guidelines for estimating causal effects in pragmatic randomized trials,"Pragmatic randomized trials are designed to provide evidence for clinical
decision-making rather than regulatory approval. Common features of these
trials include the inclusion of heterogeneous or diverse patient populations in
a wide range of care settings, the use of active treatment strategies as
comparators, unblinded treatment assignment, and the study of long-term,
clinically relevant outcomes. These features can greatly increase the
usefulness of the trial results for patients, clinicians, and other
stakeholders. However, these features also introduce an increased risk of
non-adherence, which reduces the value of the intention-to-treat effect as a
patient-centered measure of causal effect. In these settings, the per-protocol
effect provides useful complementary information for decision making.
Unfortunately, there is little guidance for valid estimation of the
per-protocol effect. Here, we present our full guidelines for analyses of
pragmatic trials that will result in more informative causal inferences for
both the intention-to-treat effect and the per-protocol effect.",http://arxiv.org/abs/1911.06030v2,"Eleanor J Murray, Sonja A Swanson, Miguel A Hernn"
282,Can the potential benefit of individualizing treatment be assessed using trial summary statistics alone?,"Individualizing treatment assignment can improve outcomes for diseases with
patient-to-patient variability in comparative treatment effects. When a
clinical trial demonstrates that some patients improve on treatment while
others do not, it is tempting to assume that treatment effect heterogeneity
exists. However, if variability in response is mainly driven by factors other
than treatment, investigating the extent to which covariate data can predict
differential treatment response is a potential waste of resources. Motivated by
recent meta-analyses assessing the potential of individualizing treatment for
major depressive disorder using only summary statistics, we provide a method
that uses summary statistics widely available in published clinical trial
results to bound the benefit of optimally assigning treatment to each patient.
We also offer alternate bounds for settings in which trial results are
stratified by another covariate. We demonstrate our approach using summary
statistics from a depression treatment trial. Our methods are implemented in
the rct2otrbounds R package, which is available at
https://github.com/ngalanter/rct2otrbounds .",http://arxiv.org/abs/2211.00163v1,"Nina Galanter, Marco Carone, Ronald C Kessler, Alex Luedtke"
283,Some t-tests for N-of-1 trials with serial correlation,"N-of-1 trials allow inference between two treatments given to a single
individual. Most often, clinical investigators analyze an individual's N-of-1
trial data with usual t-tests or simple nonparametric methods. These simple
methods do not account for serial correlation in repeated observations coming
from the individual. Existing methods accounting for serial correlation require
simulation, multiple N-of-1 trials, or both. Here, we develop t-tests that
account for serial correlation in a single individual. The development includes
effect size and precision calculations, both of which are useful for study
planning. We then evaluate and compare their Type I and II errors and interval
estimators to those of usual t-tests analogues via Monte Carlo simulation. The
serial t-tests clearly outperform the usual t-tests commonly used in reporting
N-of-1 results. Examples from N-of-1 clinical trials in fibromyalgia patients
and from a behavioral health setting exhibit how accounting for serial
correlation can change inferences. These t-tests are easily implemented and
more appropriate than simple methods commonly used; however, caution is needed
when analyzing only a few observations. Keywords: Autocorrelation; Cross-over
studies; Repeated measures analysis; Single-case experimental design;
Time-series",http://arxiv.org/abs/1904.01622v2,"Jillian Tang, Reid D Landes"
284,Prediction of cognitive decline for enrichment of Alzheimer's disease clinical trials,"A key issue to Alzheimer's disease clinical trial failures is poor
participant selection. Participants have heterogeneous cognitive trajectories
and many do not decline during trials, which reduces a study's power to detect
treatment effects. Trials need enrichment strategies to enroll individuals who
will decline. We developed machine learning models to predict cognitive
trajectories in participants with early Alzheimer's disease (n=1342) and
presymptomatic individuals (n=756) over 24 and 48 months respectively. Baseline
magnetic resonance imaging, cognitive tests, demographics, and APOE genotype
were used to classify decliners, measured by an increase in CDR-Sum of Boxes,
and non-decliners with up to 79% area under the curve (cross-validated and
out-of-sample). Using these prognostic models to recruit enriched cohorts of
decliners can reduce required sample sizes by as much as 51%, while maintaining
the same detection power, and thus may improve trial quality, derisk endpoint
failures, and accelerate therapeutic development in Alzheimer's disease.",http://arxiv.org/abs/2111.04174v4,"Angela Tam, Csar Laurent, Serge Gauthier, Christian Dansereau"
285,Generalizing Clinical Trials with Convex Hulls,"Randomized clinical trials eliminate confounding but impose strict exclusion
criteria that limit recruitment to a subset of the population. Observational
datasets are more inclusive but suffer from confounding -- often providing
overly optimistic estimates of treatment response over time due to partially
optimized physician prescribing patterns. We therefore assume that the
unconfounded treatment response lies somewhere in-between the observational
estimate before and the observational estimate after treatment assignment. This
assumption allows us to extrapolate results from exclusive trials to the
broader population by analyzing observational and trial data simultaneously
using an algorithm called Optimum in Convex Hulls (OCH). OCH represents the
treatment effect either in terms of convex hulls of conditional expectations or
convex hulls (also known as mixtures) of conditional densities. The algorithm
first learns the component expectations or densities using the observational
data and then learns the linear mixing coefficients using trial data in order
to approximate the true treatment effect; theory importantly explains why this
linear combination should hold. OCH estimates the treatment effect in terms
both expectations and densities with state of the art accuracy.",http://arxiv.org/abs/2111.13229v2,"Eric V Strobl, Thomas A Lasko"
286,Doubly robust omnibus sensitivity analysis of externally controlled trials with intercurrent events,"Externally controlled trials are crucial in clinical development when
randomized controlled trials are unethical or impractical. These trials consist
of a full treatment arm with the experimental treatment and a full external
control arm. However, they present significant challenges in learning the
treatment effect due to the lack of randomization and a parallel control group.
Besides baseline incomparability, outcome mean non-exchangeability, caused by
differences in conditional outcome distributions between external controls and
counterfactual concurrent controls, is infeasible to test and may introduce
biases in evaluating the treatment effect. Sensitivity analysis of outcome mean
non-exchangeability is thus critically important to assess the robustness of
the study's conclusions against such assumption violations. Moreover,
intercurrent events, which are ubiquitous and inevitable in clinical studies,
can further confound the treatment effect and hinder the interpretation of the
estimated treatment effects. This paper establishes a semi-parametric framework
for externally controlled trials with intercurrent events, offering doubly
robust and locally optimal estimators for primary and sensitivity analyses. We
develop an omnibus sensitivity analysis that accounts for both outcome mean
non-exchangeability and the impacts of intercurrent events simultaneously,
ensuring root-n consistency and asymptotic normality under specified
conditions. The performance of the proposed sensitivity analysis is evaluated
in simulation studies and a real-data problem.",http://arxiv.org/abs/2503.06864v1,"Chenyin Gao, Xiang Zhang, Shu Yang"
287,Exploration and Incentivizing Participation in Randomized Trials,"Participation incentives is a well-known issue inhibiting randomized
controlled trials (RCTs) in medicine, as well as a potential cause of user
dissatisfaction for RCTs in online platforms. We frame this issue as a
non-standard exploration-exploitation tradeoff: an RCT would like to explore as
uniformly as possible, whereas each ""agent"" (a patient or a user) prefers
""exploitation"", i.e., treatments that seem best. We incentivize participation
by leveraging information asymmetry between the trial and the agents. We
measure statistical performance via worst-case estimation error under
adversarially generated outcomes, a standard objective for RCTs. We obtain a
near-optimal solution in terms of this objective: an incentive-compatible
mechanism with a particular guarantee, and a nearly matching impossibility
result for any incentive-compatible mechanism. We consider three model
variants: homogeneous agents (of the same ""type"" comprising beliefs and
preferences), heterogeneous agents, and an extension with estimated type
frequencies.",http://arxiv.org/abs/2202.06191v10,"Yingkai Li, Aleksandrs Slivkins"
288,Group sequential methods for interim monitoring of randomized clinical trials with time-lagged outcome,"The primary analysis in two-arm clinical trials usually involves inference on
a scalar treatment effect parameter; e.g., depending on the outcome, the
difference of treatment-specific means, risk difference, risk ratio, or odds
ratio. Most clinical trials are monitored for the possibility of early
stopping. Because ordinarily the outcome on any given subject can be
ascertained only after some time lag, at the time of an interim analysis, among
the subjects already enrolled, the outcome is known for only a subset and is
effectively censored for those who have not been enrolled sufficiently long for
it to be observed. Typically, the interim analysis is based only on the data
from subjects for whom the outcome has been ascertained. A goal of an interim
analysis is to stop the trial as soon as the evidence is strong enough to do
so, suggesting that the analysis ideally should make the most efficient use of
all available data, thus including information on censoring as well as other
baseline and time-dependent covariates in a principled way. A general group
sequential framework is proposed for clinical trials with a time-lagged
outcome. Treatment effect estimators that take account of censoring and
incorporate covariate information at an interim analysis are derived using
semiparametric theory and are demonstrated to lead to stronger evidence for
early stopping than standard approaches. The associated test statistics are
shown to have the independent increments structure, so that standard software
can be used to obtain stopping boundaries.",http://arxiv.org/abs/2204.10739v1,"Anastasios A Tsiatis, Marie Davidian"
289,"Automated, efficient and model-free inference for randomized clinical trials via data-driven covariate adjustment","In May 2023, the U.S. Food and Drug Administration (FDA) released guidance
for industry on ""Adjustment for Covariates in Randomized Clinical Trials for
Drugs and Biological Products"". Covariate adjustment is a statistical analysis
method for improving precision and power in clinical trials by adjusting for
pre-specified, prognostic baseline variables. Though recommended by the FDA and
the European Medicines Agency (EMA), many trials do not exploit the available
information in baseline variables or make use only of the baseline measurement
of the outcome. This is likely (partly) due to the regulatory mandate to
pre-specify baseline covariates for adjustment, leading to challenges in
determining appropriate covariates and their functional forms. We will explore
the potential of automated data-adaptive methods, such as machine learning
algorithms, for covariate adjustment, addressing the challenge of
pre-specification. Specifically, our approach allows the use of complex models
or machine learning algorithms without compromising the interpretation or
validity of the treatment effect estimate and its corresponding standard error,
even in the presence of misspecified outcome working models. This contrasts the
majority of competing works which assume correct model specification for the
validity of standard errors. Our proposed estimators either necessitate
ultra-sparsity in the outcome model (which can be relaxed by limiting the
number of predictors in the model) or necessitate integration with sample
splitting to enhance their performance. As such, we will arrive at simple
estimators and standard errors for the marginal treatment effect in randomized
clinical trials, which exploit data-adaptive outcome predictions based on
prognostic baseline covariates, and have low (or no) bias in finite samples
even when those predictions are themselves biased.",http://arxiv.org/abs/2404.11150v1,"Kelly Van Lancker, Ivn Daz, Stijn Vansteelandt"
290,Bayesian adaptive bandit-based designs using the Gittins index for multi-armed trials with normally distributed endpoints,"Adaptive designs for multi-armed clinical trials have become increasingly
popular recently in many areas of medical research because of their potential
to shorten development times and to increase patient response. However,
developing response-adaptive trial designs that offer patient benefit while
ensuring the resulting trial avoids bias and provides a statistically rigorous
comparison of the different treatments included is highly challenging. In this
paper, the theory of Multi-Armed Bandit Problems is used to define a family of
near optimal adaptive designs in the context of a clinical trial with a
normally distributed endpoint with known variance. Through simulation studies
based on an ongoing trial as a motivation we report the operating
characteristics (type I error, power, bias) and patient benefit of these
approaches and compare them to traditional and existing alternative designs.
These results are then compared to those recently published in the context of
Bernoulli endpoints. Many limitations and advantages are similar in both cases
but there are also important differences, specially with respect to type I
error control. This paper proposes a simulation-based testing procedure to
correct for the observed type I error inflation that bandit-based and adaptive
rules can induce. Results presented extend recent work by considering a
normally distributed endpoint, a very common case in clinical practice yet
mostly ignored in the response-adaptive theoretical literature, and illustrate
the potential advantages of using these methods in a rare disease context. We
also recommend a suitable modified implementation of the bandit-based adaptive
designs for the case of common diseases.",http://arxiv.org/abs/1703.05172v1,"Adam Smith, Sofia S Villar"
291,Decline of COPD exacerbations in clinical trials over two decades -- a systematic review and meta-regression,"BACKGROUND: An important goal of chronic obstructive pulmonary disease (COPD)
treatment is to reduce the frequency of exacerbations. Some observations
suggest a decline in exacerbation rates in clinical trials over time. A more
systematic understanding would help to improve the design and interpretation of
COPD trials.
  METHODS: We performed a systematic review and meta-regression of the placebo
groups in published randomized controlled trials reporting exacerbations as an
outcome. A Bayesian negative binomial model was developed to accommodate
results that are reported in different formats; results are reported with
credible intervals (CI) and posterior tail probabilities ($p_B$).
  RESULTS: Of 1114 studies identified by our search, 55 were ultimately
included. Exacerbation rates decreased by 6.7% (95% CI (4.4, 9.0); $p_B$ <
0.001) per year, or 50% (95% CI (36, 61)) per decade. Adjusting for available
study and baseline characteristics such as forced expiratory volume in 1 s
(FEV1) did not alter the observed trend considerably. Two subsets of studies,
one using a true placebo group and the other allowing inhaled corticosteroids
in the ""placebo"" group, also yielded consistent results.
  CONCLUSIONS: In conclusion, this meta-regression indicates that the rate of
COPD exacerbations decreased over the past two decades to a clinically relevant
extent independent of important prognostic factors. This suggests that care is
needed in the design of new trials or when comparing results from older trials
with more recent ones. Also a considerable effect of adjunct therapy on COPD
exacerbations can be assumed.",http://arxiv.org/abs/1908.06340v1,"Stefan Andreas, Christian Rver, Judith Heinz, Sebastian Straube, Henrik Watz, Tim Friede"
292,Information Extraction of Clinical Trial Eligibility Criteria,"Clinical trials predicate subject eligibility on a diversity of criteria
ranging from patient demographics to food allergies. Trials post their
requirements as semantically complex, unstructured free-text. Formalizing trial
criteria to a computer-interpretable syntax would facilitate eligibility
determination. In this paper, we investigate an information extraction (IE)
approach for grounding criteria from trials in ClinicalTrials(dot)gov to a
shared knowledge base. We frame the problem as a novel knowledge base
population task, and implement a solution combining machine learning and
context free grammar. To our knowledge, this work is the first criteria
extraction system to apply attention-based conditional random field
architecture for named entity recognition (NER), and word2vec embedding
clustering for named entity linking (NEL). We release the resources and core
components of our system on GitHub at
https://github.com/facebookresearch/Clinical-Trial-Parser. Finally, we report
our per module and end to end performances; we conclude that our system is
competitive with Criteria2Query, which we view as the current state-of-the-art
in criteria extraction.",http://arxiv.org/abs/2006.07296v6,"Yitong Tseo, M I Salkola, Ahmed Mohamed, Anuj Kumar, Freddy Abnousi"
293,Elastic Priors to Dynamically Borrow Information from Historical Data in Clinical Trials,"Use of historical data and real-world evidence holds great potential to
improve the efficiency of clinical trials. One major challenge is how to
effectively borrow information from historical data while maintaining a
reasonable type I error. We propose the elastic prior approach to address this
challenge and achieve dynamic information borrowing. Unlike existing
approaches, this method proactively controls the behavior of dynamic
information borrowing and type I errors by incorporating a well-known concept
of clinically meaningful difference through an elastic function, defined as a
monotonic function of a congruence measure between historical data and trial
data. The elastic function is constructed to satisfy a set of
information-borrowing constraints prespecified by researchers or regulatory
agencies, such that the prior will borrow information when historical and trial
data are congruent, but refrain from information borrowing when historical and
trial data are incongruent. In doing so, the elastic prior improves power and
reduces the risk of data dredging and bias. The elastic prior is information
borrowing consistent, i.e. asymptotically controls type I and II errors at the
nominal values when historical data and trial data are not congruent, a unique
characteristics of the elastic prior approach. Our simulation study that
evaluates the finite sample characteristic confirms that, compared to existing
methods, the elastic prior has better type I error control and yields
competitive or higher power.",http://arxiv.org/abs/2009.06083v2,"Liyun Jiang, Lei Nie, Ying Yuan"
294,Multi-Task Adversarial Learning for Treatment Effect Estimation in Basket Trials,"Estimating treatment effects from observational data provides insights about
causality guiding many real-world applications such as different clinical study
designs, which are the formulations of trials, experiments, and observational
studies in medical, clinical, and other types of research. In this paper, we
describe causal inference for application in a novel clinical design called
basket trial that tests how well a new drug works in patients who have
different types of cancer that all have the same mutation. We propose a
multi-task adversarial learning (MTAL) method, which incorporates feature
selection multi-task representation learning and adversarial learning to
estimate potential outcomes across different tumor types for patients sharing
the same genetic mutation but having different tumor types. In our paper, the
basket trial is employed as an intuitive example to present this new causal
inference setting. This new causal inference setting includes, but is not
limited to basket trials. This setting has the same challenges as the
traditional causal inference problem, i.e., missing counterfactual outcomes
under different subgroups and treatment selection bias due to confounders. We
present the practical advantages of our MTAL method for the analysis of
synthetic basket trial data and evaluate the proposed estimator on two
benchmarks, IHDP and News. The results demonstrate the superiority of our MTAL
method over the competing state-of-the-art methods.",http://arxiv.org/abs/2203.05123v1,"Zhixuan Chu, Stephen L Rathbun, Sheng Li"
